期号,开奖日期,红球,蓝球
2025021,2025-02-27(四),07 08 16 18 25 32,14
2025020,2025-02-25(二),04 11 13 16 26 30,15
2025019,2025-02-23(日),05 13 17 18 22 23,11
2025018,2025-02-20(四),03 09 18 21 28 29,11
2025017,2025-02-18(二),04 12 15 18 28 29,05
2025016,2025-02-16(日),02 03 12 16 20 29,14
2025015,2025-02-13(四),04 11 15 24 25 33,15
2025014,2025-02-11(二),06 07 09 13 21 27,05
2025013,2025-02-09(日),04 14 16 23 24 30,14
2025012,2025-02-06(四),07 11 13 18 27 31,11
2025011,2025-01-26(日),06 13 17 22 24 29,11
2025010,2025-01-23(四),04 06 07 16 17 21,08
2025009,2025-01-21(二),02 04 11 12 23 25,06
2025008,2025-01-19(日),09 14 16 17 25 33,11
2025007,2025-01-16(四),07 08 14 18 21 27,11
2025006,2025-01-14(二),01 07 08 17 20 22,06
2025005,2025-01-12(日),10 16 19 27 28 30,09
2025004,2025-01-09(四),03 07 17 27 29 32,04
2025003,2025-01-07(二),10 19 20 26 28 29,15
2025002,2025-01-05(日),09 12 13 15 22 26,11
2025001,2025-01-02(四),02 03 17 18 22 33,16
2024151,2024-12-31(二),05 10 16 19 29 32,04
2024150,2024-12-29(日),13 14 20 22 26 32,02
2024149,2024-12-26(四),03 09 16 17 18 22,16
2024148,2024-12-24(二),02 06 15 16 21 23,11
2024147,2024-12-22(日),05 11 13 16 21 30,10
2024146,2024-12-19(四),02 04 11 22 27 32,10
2024145,2024-12-17(二),01 03 16 22 23 30,03
2024144,2024-12-15(日),02 09 11 17 20 30,11
2024143,2024-12-12(四),02 05 11 22 30 33,10
2024142,2024-12-10(二),04 06 13 21 22 25,06
2024141,2024-12-08(日),01 02 07 15 24 29,12
2024140,2024-12-05(四),04 07 08 17 22 26,15
2024139,2024-12-03(二),15 16 20 22 23 29,14
2024138,2024-12-01(日),02 07 11 21 27 28,02
2024137,2024-11-28(四),04 09 10 19 26 27,12
2024136,2024-11-26(二),03 11 15 21 25 26,03
2024135,2024-11-24(日),05 11 17 18 30 31,13
2024134,2024-11-21(四),02 04 13 16 18 20,16
2024133,2024-11-19(二),01 11 15 27 30 33,01
2024132,2024-11-17(日),01 04 25 27 28 33,03
2024131,2024-11-14(四),04 05 11 15 20 32,13
2024130,2024-11-12(二),01 08 12 17 19 24,16
2024129,2024-11-10(日),09 10 13 19 24 32,01
2024128,2024-11-07(四),01 08 13 18 20 26,16
2024127,2024-11-05(二),02 05 13 20 27 32,10
2024126,2024-11-03(日),14 18 23 24 26 33,10
2024125,2024-10-31(四),01 04 13 18 26 30,03
2024124,2024-10-29(二),02 14 15 17 25 30,11
2024123,2024-10-27(日),02 15 22 26 30 33,04
2024122,2024-10-24(四),05 07 09 16 17 29,15
2024121,2024-10-22(二),01 07 10 13 27 33,03
2024120,2024-10-20(日),01 05 07 11 18 19,07
2024119,2024-10-17(四),02 09 26 27 31 32,14
2024118,2024-10-15(二),02 03 04 06 11 15,14
2024117,2024-10-13(日),03 12 14 16 29 32,12
2024116,2024-10-10(四),01 15 20 22 31 32,03
2024115,2024-10-08(二),03 10 11 19 27 28,07
2024114,2024-10-06(日),07 11 18 24 27 32,04
2024113,2024-09-29(日),04 05 23 24 26 31,11
2024112,2024-09-26(四),08 11 16 25 29 32,03
2024111,2024-09-24(二),01 04 11 12 22 30,16
2024110,2024-09-22(日),04 13 17 23 25 33,14
2024109,2024-09-19(四),03 04 24 28 29 33,09
2024108,2024-09-17(二),01 08 09 23 24 30,08
2024107,2024-09-15(日),01 06 08 13 17 19,09
2024106,2024-09-12(四),03 08 11 22 31 33,04
2024105,2024-09-10(二),02 05 17 19 29 33,04
2024104,2024-09-08(日),05 16 23 24 26 29,04
2024103,2024-09-05(四),12 21 23 27 32 33,15
2024102,2024-09-03(二),09 15 18 21 22 25,01
2024101,2024-09-01(日),08 12 15 17 19 30,08
2024100,2024-08-29(四),13 14 19 20 27 30,05
2024099,2024-08-27(二),04 12 17 24 26 27,16
2024098,2024-08-25(日),03 08 10 20 30 31,02
2024097,2024-08-22(四),04 10 12 13 18 30,03
2024096,2024-08-20(二),02 04 14 18 23 27,13
2024095,2024-08-18(日),04 06 09 14 16 21,03
2024094,2024-08-15(四),06 13 17 22 25 27,09
2024093,2024-08-13(二),01 05 07 11 12 15,12
2024092,2024-08-11(日),03 08 11 12 18 29,05
2024091,2024-08-08(四),13 15 16 19 20 24,10
2024090,2024-08-06(二),07 11 17 24 31 32,12
2024089,2024-08-04(日),03 06 09 15 18 31,01
2024088,2024-08-01(四),03 08 10 17 30 32,10
2024087,2024-07-30(二),03 09 18 19 20 26,11
2024086,2024-07-28(日),17 19 20 23 25 31,02
2024085,2024-07-25(四),01 05 15 21 23 27,15
2024084,2024-07-23(二),01 08 10 13 19 29,13
2024083,2024-07-21(日),03 09 14 29 32 33,15
2024082,2024-07-18(四),01 02 13 16 17 29,16
2024081,2024-07-16(二),01 06 12 17 23 25,04
2024080,2024-07-14(日),06 11 12 27 29 30,13
2024079,2024-07-11(四),02 03 06 07 16 26,04
2024078,2024-07-09(二),05 09 14 21 22 26,12
2024077,2024-07-07(日),01 04 06 14 17 22,08
2024076,2024-07-04(四),03 22 24 27 29 32,15
2024075,2024-07-02(二),03 05 08 18 22 28,01
2024074,2024-06-30(日),07 08 10 22 24 32,07
2024073,2024-06-27(四),03 09 12 18 28 30,01
2024072,2024-06-25(二),01 14 20 21 23 27,06
2024071,2024-06-23(日),02 08 19 28 30 31,14
2024070,2024-06-20(四),04 13 18 20 22 28,05
2024069,2024-06-18(二),06 13 20 21 24 32,06
2024068,2024-06-16(日),01 02 07 19 20 21,01
2024067,2024-06-13(四),01 11 13 17 25 29,03
2024066,2024-06-11(二),08 09 12 22 26 32,13
2024065,2024-06-09(日),03 05 09 10 19 22,14
2024064,2024-06-06(四),06 08 17 18 28 30,05
2024063,2024-06-04(二),07 14 16 23 28 32,04
2024062,2024-06-02(日),01 07 10 16 18 27,16
2024061,2024-05-30(四),01 09 18 22 25 28,02
2024060,2024-05-28(二),01 02 06 10 22 28,15
2024059,2024-05-26(日),01 03 14 25 31 33,07
2024058,2024-05-23(四),08 12 13 17 27 29,13
2024057,2024-05-21(二),03 08 17 18 23 31,08
2024056,2024-05-19(日),05 18 20 24 25 26,06
2024055,2024-05-16(四),02 04 06 07 16 29,03
2024054,2024-05-14(二),08 13 20 25 31 32,03
2024053,2024-05-12(日),07 14 21 22 28 33,07
2024052,2024-05-09(四),07 10 11 15 17 21,03
2024051,2024-05-07(二),05 09 13 20 23 28,06
2024050,2024-05-05(日),01 03 07 10 22 33,02
2024049,2024-05-02(四),12 15 17 23 26 32,11
2024048,2024-04-30(二),02 09 15 19 26 28,02
2024047,2024-04-28(日),07 08 21 26 29 30,15
2024046,2024-04-25(四),02 06 10 11 17 29,15
2024045,2024-04-23(二),02 08 19 23 24 26,03
2024044,2024-04-21(日),02 06 17 25 32 33,06
2024043,2024-04-18(四),04 06 07 14 15 24,08
2024042,2024-04-16(二),02 04 05 14 26 32,14
2024041,2024-04-14(日),02 09 12 22 25 33,16
2024040,2024-04-11(四),11 14 18 19 23 26,02
2024039,2024-04-09(二),02 06 12 29 30 31,10
2024038,2024-04-07(日),08 10 18 23 27 31,02
2024037,2024-04-04(四),01 04 05 06 12 14,13
2024036,2024-04-02(二),02 08 09 12 21 31,02
